country_name,country_code,indicator_name,Average_Inflation1960_1964,Average_Inflation1965_1969,Average_Inflation1970_1974,Average_Inflation1975_1979,Average_Inflation1980_1984,Average_Inflation1985_1989,Average_Inflation1990_1994,Average_Inflation1995_1999,Average_Inflation2000_2004,Average_Inflation2005_2009,Average_Inflation2010_2014,Average_Inflation2015_2019,Inflation_2021,Inflation_2022
East Asia & Pacific (excluding high income),EAP,"Inflation, consumer prices (annual %)",0,0,0,0,0,4.2,7.22,6.33,3.31,5.6,3.67,2.8,2.39,2.48
Early-demographic dividend,EAR,"Inflation, consumer prices (annual %)",0,2.41,1.21,11.22,11.31,9.66,11.72,7.54,4.4,6.39,4.84,3.27,3.9,4.26
East Asia & Pacific,EAS,"Inflation, consumer prices (annual %)",0,0,0,0,0,3.8,6.21,4.27,2.52,4.14,3.23,1.56,0.85,2.41
Europe & Central Asia (excluding high income),ECA,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,97.29,5.2,8.4,8.2,4.85,2.82,2.73,5.11
Europe & Central Asia,ECS,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,6.5,5.94,3.2,3.26,2.26,1.27,1.2,3.15
Ecuador,ECU,"Inflation, consumer prices (annual %)",3.7,4.89,4.29,12.19,25.7,42.88,44.82,33.25,31.39,4.31,3.89,1.23,0.34,0.13
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",0.49,4.95,2.72,1.74,15.82,18.92,14.8,6.9,4.69,1.38,9.6,15.45,5.4,5.55
Euro area,EMU,"Inflation, consumer prices (annual %)",2.59,3.1,2.85,9.55,1.7,3.47,4.27,2.64,2.49,2.41,1.75,0.95,0.29,2.45
Eritrea,ERI,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,ESP,"Inflation, consumer prices (annual %)",4.68,5.85,5.27,18.91,13.6,6.9,5.57,2.87,3.23,2.69,1.74,0.73,0.32,3.9
